Date,Total_Cases,New_Cases,Total_Deaths,New_Deaths,Total_Recovered,Active_Cases,Serious_Critical
Jul04_2021,40725591,18616,920743,328,34214134,5590714,10854
Jul05_2021,40744447,14632,920969,175,34245802,5577676,10889
Jul06_2021,40782790,25621,921453,447,34292715,5568622,10794
Jul07_2021,40836328,39059,922221,664,34344219,5569888,10709
Jul08_2021,40879121,40724,922861,638,34381003,5575257,10677
Jul09_2021,40937844,51412,923759,769,34414578,5599507,10835
Jul10_2021,40975023,37019,924248,494,34439590,5611185,11287
Jul11_2021,41004910,28510,924626,407,34464966,5615318,11312
Jul12_2021,41065155,35235,925116,341,34510508,5629531,11379
Jul13_2021,41113778,46864,925692,564,34554524,5633562,11537
Jul14_2021,41179843,61257,926495,778,34592211,5661137,11647
Jul15_2021,41246728,64098,927331,789,34625175,5694222,11671
Jul16_2021,41316863,68591,928172,769,34659612,5729079,11863
Jul17_2021,41364166,47303,928686,518,34687656,5747824,12868
Jul18_2021,41395504,30881,929056,370,34717534,5748914,12890
Jul19_2021,41469585,39335,929589,342,34772512,5767484,13047
Jul20_2021,41552437,63965,930246,535,34819555,5802636,13340
Jul21_2021,41643298,82375,931142,876,34862715,5849441,13494
Jul22_2021,41749494,94247,932169,962,34915299,5902026,13655
Jul23_2021,41851834,100071,933251,1023,34960554,5958029,13773
Jul24_2021,41784683,68032,933811,656,34994898,5855974,14789
Jul25_2021,41827328,41669,934342,531,35024886,5868100,15304
Jul26_2021,41935836,54405,934877,368,35083588,5917371,15540
Jul27_2021,42027330,83030,935626,736,35137435,5954269,15862
Jul28_2021,42200895,124457,937127,1232,35200448,6063320,16107
Jul29_2021,42336676,131479,938251,1128,35252354,6146071,16255
Jul30_2021,42479102,137374,939425,1021,35309999,6229678,16381
Jul31_2021,42572108,88386,940339,904,35352353,6279416,18541
Aug01_2021,42627741,53501,941060,713,35385036,6301645,18566
Aug02_2021,42776554,76273,941847,490,35442116,6392591,18972
Aug03_2021,42958301,129996,943270,1064,35525755,6489276,19496
Aug04_2021,43128288,154775,944709,1292,35587347,6596232,19761
