Date,Total_Cases,New_Cases,Total_Deaths,New_Deaths,Total_Recovered,Active_Cases,Serious_Critical
Apr17_2021,33385200,407287,464261,2918,29136135,3784804,28922
Apr18_2021,33804342,419142,467562,3301,29460277,3876503,29329
Apr19_2021,34204146,399804,470857,3295,29740816,3992473,29611
Apr20_2021,34650740,446237,474557,3700,30052863,4123320,29745
Apr21_2021,35123194,472643,478413,3856,30373721,4271060,29935
Apr22_2021,35606138,482944,482343,3930,30719395,4404400,30152
Apr23_2021,36091977,485859,486619,4276,31082019,4523339,30303
Apr24_2021,36565210,473233,491034,4415,31437530,4636646,30375
Apr25_2021,37042853,477643,495503,4469,31791506,4755844,30709
Apr26_2021,37483928,441099,499951,4448,32168951,4815026,30833
Apr27_2021,37974187,489401,504898,4946,32560640,4908649,31094
Apr28_2021,38481852,507665,510302,5404,32954539,5017011,31344
Apr29_2021,38994945,513093,515518,5216,33371031,5108396,32205
Apr30_2021,39514984,520039,520757,5239,33809644,5184583,32447
May01_2021,40013999,498859,525970,5213,34282185,5205844,33658
May02_2021,40492586,478587,530943,4973,34738243,5223400,33842
May03_2021,40953208,460622,535905,4962,35169313,5247990,33690
May04_2021,41444902,491419,541327,5416,35632706,5270869,33665
May05_2021,41965363,519802,547040,5713,36081058,5337265,33540
May06_2021,42485021,519658,552523,5483,36529688,5402810,33443
May07_2021,42989194,503646,558230,5707,36961196,5469768,33457
May07_2021,42989194,503646,558230,5707,36961196,5469768,33457
May08_2021,43494235,504281,563951,5713,37470279,5460005,33138
May09_2021,43951311,457076,569432,5481,37932833,5449046,32995
May09_2021,43951311,457076,569432,5481,37932833,5449046,32995
May10_2021,44374453,422372,574885,5453,38398239,5401329,32843
May11_2021,44815542,440254,580738,5853,38857251,5377553,32882
May12_2021,45265089,449547,586465,5727,39322783,5355841,32514
May13_2021,45697453,432364,591985,5520,39797645,5307823,32320
May14_2021,46098631,401175,597221,5236,40255444,5245966,32980
May15_2021,46482416,381371,602738,5454,40738856,5140822,32924
May16_2021,46836878,354462,608241,5503,41210067,5018570,32787
May17_2021,47189119,352241,614069,5828,41721305,4853745,32628
May18_2021,47536735,347616,620220,6151,42198479,4718036,32374
May19_2021,47900130,363395,625861,5641,42657357,4616912,32522
May21_2021,48591290,341536,637207,5607,43536047,4418036,32007
May22_2021,48916211,323993,642383,5168,43985337,4288491,31912
May23_2021,49214707,298496,648087,5704,44370631,4195989,31682
May24_2021,49489800,274371,652542,4805,44818288,4018970,32584
May25_2021,49781586,290964,658023,5481,45193068,3930495,31526
May26_2021,50072952,291194,663180,5157,45561005,3848767,30906
May27_2021,50336129,262982,668075,4895,45911111,3756943,30577
May28_2021,50593064,256816,673028,4953,46276442,3643594,30419
May29_2021,50845669,251685,677988,4952,46642461,3525220,30342
May30_2021,51073553,227862,682369,4381,46966773,3424411,30192
May31_2021,51277112,203601,686360,3991,47307981,3282771,30030
Jun01_2021,51482427,205314,690737,4377,47628839,3162851,29726
Jun02_2021,51693750,211218,694976,4237,47932124,3066650,29554
Jun03_2021,51904196,210332,699083,4107,48229330,2975783,29264
